title,Score,Metascore,Year,Vote,Runtime,Revenue,Action,Adventure,Animation,Biography,Comedy,Crime,Drama,Family,Fantasy,FilmNoir,History,Horror,Music,Musical,Mystery,Romance,Sci.Fi,Sport,Thriller,War,Western
The Godfather,9.2,87.27020263671875,1972,1378253,175,134.97,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Casablanca,8.5,91.4384994506836,1942,458443,102,1.02,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
Rear Window,8.5,89.66387176513672,1954,382118,112,36.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
Citizen Kane,8.4,94.233001708984375,1941,351332,119,1.59,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
The Wizard of Oz,8,93.0509033203125,1939,340733,102,22.2,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Boyhood,7.9,75.65099334716797,2014,308492,165,25.38,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vertigo,8.3,88.73792266845703,1958,306510,128,3.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0
Once Upon a Time in America,8.4,80.74665069580078,1984,265566,229,5.32,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Home Alone 2: Lost in New York,6.7,56.7863655090332,1992,247800,120,173.59,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Death Proof,7,50.456111907958984,2007,236539,113,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Lawrence of Arabia,8.3,82.7197494506836,1962,232574,216,44.82,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hachi: A Dog's Tale,8.1,69.76758575439453,2009,212349,93,NA,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Grave of the Fireflies,8.5,77.49806213378906,1988,184534,89,NA,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Planet Terror,7.1,53.80671310424805,2007,184292,105,NA,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Carlito's Way,7.9,76.9894027709961,1993,181156,144,36.95,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
The Number 23,6.4,51.12582015991211,2007,181061,98,35.19,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
